instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
2,scenario-03,step-19,warm,ondemand,0.000,0.0018,0.0787,0.0016,1.05,1.05
2,scenario-03,step-20,warm,ondemand,0.000,0.0017,0.0725,0.0017,1.05,1.05
2,scenario-03,step-21,warm,ondemand,0.000,0.0017,0.0728,0.0015,1.05,1.05
2,scenario-03,step-22,warm,ondemand,0.000,0.0018,0.0713,0.0016,1.05,1.05
1,scenario-01,step-28,warm,ondemand,0.000,0.0101,0.4947,0.0125,6.29,6.29
2,scenario-03,step-23,warm,ondemand,0.000,0.0039,0.0810,0.0016,1.05,1.05
2,scenario-03,step-24,warm,ondemand,0.000,0.0018,0.0744,0.0020,1.05,1.05
2,scenario-03,step-25,warm,ondemand,0.000,0.0017,0.0756,0.0018,1.05,1.05
2,scenario-03,step-26,warm,ondemand,0.000,0.0020,0.0786,0.0018,1.05,1.05
2,scenario-03,step-27,warm,ondemand,0.000,0.0019,0.1255,0.0047,1.05,3.15
1,scenario-01,step-29,warm,ondemand,0.000,0.0096,0.4952,0.0100,6.29,6.29
2,scenario-03,step-28,warm,ondemand,0.000,0.0047,0.2356,0.0049,3.15,3.15
1,scenario-01,step-30,warm,ondemand,0.000,0.0097,0.4893,0.0089,6.29,6.29
2,scenario-03,step-29,warm,ondemand,0.000,0.0045,0.2421,0.0046,3.15,3.15
2,scenario-03,step-30,warm,ondemand,0.000,0.0049,0.2393,0.0048,3.15,3.15
2,scenario-03,step-31,warm,ondemand,0.000,0.0047,0.2412,0.0046,3.15,3.15
1,scenario-01,step-31,warm,ondemand,0.000,0.0092,0.4932,0.0089,6.29,6.29
2,scenario-03,step-32,warm,ondemand,0.000,0.0048,0.2382,0.0046,3.15,3.15
1,scenario-01,step-32,warm,ondemand,0.000,0.0096,0.4863,0.0088,6.29,6.29
2,scenario-03,step-33,warm,ondemand,0.000,0.0052,0.2467,0.0048,3.15,3.15
2,scenario-03,step-34,warm,ondemand,0.000,0.0046,0.2395,0.0047,3.15,3.15
1,scenario-01,step-33,warm,ondemand,0.000,0.0094,0.4824,0.0089,6.29,6.29
2,scenario-03,step-35,warm,ondemand,0.000,0.0045,0.2450,0.0046,3.15,3.15
2,scenario-03,step-36,warm,ondemand,0.000,0.0061,0.2390,0.0046,3.15,3.15
1,scenario-01,step-34,warm,ondemand,0.000,0.0097,0.4821,0.0096,6.29,6.29
2,scenario-03,step-37,warm,ondemand,0.000,0.0050,0.2590,0.0046,3.15,3.15
2,scenario-03,step-38,warm,ondemand,0.000,0.0047,0.2413,0.0047,3.15,3.15
1,scenario-01,step-35,warm,ondemand,0.000,0.0091,0.4763,0.0087,6.29,6.29
2,scenario-03,step-39,warm,ondemand,0.000,0.0051,0.2313,0.0045,3.15,3.15
2,scenario-03,step-40,warm,ondemand,0.000,0.0048,0.2307,0.0047,3.15,3.15
1,scenario-01,step-36,warm,ondemand,0.000,0.0088,0.4662,0.0089,6.29,6.29
2,scenario-03,step-41,warm,ondemand,0.000,0.0046,0.1849,0.0019,3.15,1.05
1,scenario-01,step-37,warm,ondemand,0.000,0.0091,0.4603,0.0097,6.29,6.29
1,scenario-01,step-38,warm,ondemand,0.000,0.0088,0.4609,0.0086,6.29,6.29
1,scenario-01,step-39,warm,ondemand,0.000,0.0098,0.4642,0.0087,6.29,6.29
1,scenario-01,step-40,warm,ondemand,0.000,0.0089,0.4757,0.0087,6.29,6.29
1,scenario-01,step-41,warm,ondemand,0.000,0.0087,0.3400,0.0018,6.29,1.05
3,scenario-02,step-0,warm,ondemand,0.000,0.0000,0.0755,0.0018,0.00,1.05
3,scenario-02,step-1,warm,ondemand,0.000,0.0019,0.0932,0.0030,1.05,2.10
3,scenario-02,step-2,warm,ondemand,0.000,0.0031,0.1163,0.0016,2.10,1.05
3,scenario-02,step-3,warm,ondemand,0.000,0.0017,0.0890,0.0029,1.05,2.10
3,scenario-02,step-4,warm,ondemand,0.000,0.0033,0.1119,0.0017,2.10,1.05
3,scenario-02,step-5,warm,ondemand,0.000,0.0023,0.0675,0.0018,1.05,1.05
3,scenario-02,step-6,warm,ondemand,0.000,0.0017,0.0907,0.0032,1.05,2.10
3,scenario-02,step-7,warm,ondemand,0.000,0.0031,0.1330,0.0031,2.10,2.10
3,scenario-02,step-8,warm,ondemand,0.000,0.0031,0.1125,0.0016,2.10,1.05
3,scenario-02,step-9,warm,ondemand,0.000,0.0017,0.0886,0.0038,1.05,2.10
3,scenario-02,step-10,warm,ondemand,0.000,0.0037,0.1358,0.0043,2.10,2.10
3,scenario-02,step-11,warm,ondemand,0.000,0.0030,0.1353,0.0043,2.10,2.10
3,scenario-02,step-12,warm,ondemand,0.000,0.0032,0.1133,0.0021,2.10,1.05
3,scenario-02,step-13,warm,ondemand,0.000,0.0053,0.0681,0.0022,1.05,1.05
3,scenario-02,step-14,warm,ondemand,0.000,0.0018,0.0674,0.0018,1.05,1.05
3,scenario-02,step-15,warm,ondemand,0.000,0.0020,0.0902,0.0043,1.05,2.10
3,scenario-02,step-16,warm,ondemand,0.000,0.0031,0.1114,0.0024,2.10,1.05
3,scenario-02,step-17,warm,ondemand,0.000,0.0018,0.0908,0.0043,1.05,2.10
4,scenario-01,step-0,warm,ondemand,0.000,0.0000,0.0966,0.0042,0.00,2.10
3,scenario-02,step-18,warm,ondemand,0.000,0.0033,0.1392,0.0063,2.10,2.10
3,scenario-02,step-19,warm,ondemand,0.000,0.0032,0.1171,0.0019,2.10,1.05
4,scenario-01,step-1,warm,ondemand,0.000,0.0033,0.1553,0.0037,2.10,2.10
3,scenario-02,step-20,warm,ondemand,0.000,0.0026,0.0964,0.0033,1.05,2.10
4,scenario-01,step-2,warm,ondemand,0.000,0.0033,0.1610,0.0032,2.10,2.10
3,scenario-02,step-21,warm,ondemand,0.000,0.0036,0.1291,0.0019,2.10,1.05
3,scenario-02,step-22,warm,ondemand,0.000,0.0019,0.0687,0.0019,1.05,1.05
4,scenario-01,step-3,warm,ondemand,0.000,0.0034,0.1606,0.0032,2.10,2.10
3,scenario-02,step-23,warm,ondemand,0.000,0.0022,0.0746,0.0020,1.05,1.05
3,scenario-02,step-24,warm,ondemand,0.000,0.0020,0.0710,0.0022,1.05,1.05
4,scenario-01,step-4,warm,ondemand,0.000,0.0036,0.1544,0.0031,2.10,2.10
3,scenario-02,step-25,warm,ondemand,0.000,0.0017,0.0931,0.0036,1.05,2.10
4,scenario-01,step-5,warm,ondemand,0.000,0.0034,0.1508,0.0031,2.10,2.10
3,scenario-02,step-26,warm,ondemand,0.000,0.0031,0.1191,0.0017,2.10,1.05
4,scenario-01,step-6,warm,ondemand,0.000,0.0031,0.1472,0.0035,2.10,2.10
3,scenario-02,step-27,warm,ondemand,0.000,0.0017,0.1907,0.0133,1.05,6.29
4,scenario-01,step-7,warm,ondemand,0.000,0.0036,0.1508,0.0032,2.10,2.10
4,scenario-01,step-8,warm,ondemand,0.000,0.0037,0.1657,0.0031,2.10,2.10
4,scenario-01,step-9,warm,ondemand,0.000,0.0030,0.1553,0.0030,2.10,2.10
3,scenario-02,step-28,warm,ondemand,0.000,0.0093,0.4827,0.0098,6.29,6.29
4,scenario-01,step-10,warm,ondemand,0.000,0.0037,0.1510,0.0033,2.10,2.10
4,scenario-01,step-11,warm,ondemand,0.000,0.0041,0.1488,0.0031,2.10,2.10
4,scenario-01,step-12,warm,ondemand,0.000,0.0032,0.1498,0.0030,2.10,2.10
3,scenario-02,step-29,warm,ondemand,0.000,0.0093,0.4910,0.0106,6.29,6.29
4,scenario-01,step-13,warm,ondemand,0.000,0.0031,0.1510,0.0034,2.10,2.10
4,scenario-01,step-14,warm,ondemand,0.000,0.0035,0.1498,0.0031,2.10,2.10
4,scenario-01,step-15,warm,ondemand,0.000,0.0032,0.1489,0.0031,2.10,2.10
3,scenario-02,step-30,warm,ondemand,0.000,0.0093,0.4867,0.0094,6.29,6.29
4,scenario-01,step-16,warm,ondemand,0.000,0.0032,0.1517,0.0032,2.10,2.10
4,scenario-01,step-17,warm,ondemand,0.000,0.0032,0.1469,0.0030,2.10,2.10
4,scenario-01,step-18,warm,ondemand,0.000,0.0035,0.1498,0.0031,2.10,2.10
3,scenario-02,step-31,warm,ondemand,0.000,0.0100,0.4880,0.0098,6.29,6.29
4,scenario-01,step-19,warm,ondemand,0.000,0.0034,0.1484,0.0032,2.10,2.10
4,scenario-01,step-20,warm,ondemand,0.000,0.0032,0.1490,0.0030,2.10,2.10
3,scenario-02,step-32,warm,ondemand,0.000,0.0093,0.4741,0.0088,6.29,6.29
5,scenario-01,step-0,cold,ondemand,1.821,0.0000,0.1093,0.0033,0.00,2.10
4,scenario-01,step-21,warm,ondemand,0.000,0.0038,0.1578,0.0033,2.10,2.10
5,scenario-01,step-1,warm,ondemand,0.000,0.0039,0.1563,0.0035,2.10,2.10
4,scenario-01,step-22,warm,ondemand,0.000,0.0035,0.1539,0.0033,2.10,2.10
5,scenario-01,step-2,warm,ondemand,0.000,0.0033,0.1535,0.0032,2.10,2.10
3,scenario-02,step-33,warm,ondemand,0.000,0.0133,0.4927,0.0088,6.29,6.29
4,scenario-01,step-23,warm,ondemand,0.000,0.0032,0.1546,0.0032,2.10,2.10
