instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
3,scenario-02,step-12,warm,reserved,0.000,0.0031,0.1119,0.0017,2.10,1.05
3,scenario-02,step-13,warm,reserved,0.000,0.0018,0.0675,0.0016,1.05,1.05
3,scenario-02,step-14,warm,reserved,0.000,0.0018,0.0662,0.0017,1.05,1.05
3,scenario-02,step-15,warm,reserved,0.000,0.0018,0.0891,0.0031,1.05,2.10
3,scenario-02,step-16,warm,reserved,0.000,0.0032,0.1141,0.0016,2.10,1.05
3,scenario-02,step-17,warm,reserved,0.000,0.0017,0.0901,0.0033,1.05,2.10
4,scenario-01,step-0,warm,reserved,0.000,0.0000,0.0966,0.0032,0.00,2.10
3,scenario-02,step-18,warm,reserved,0.000,0.0034,0.1371,0.0035,2.10,2.10
3,scenario-02,step-19,warm,reserved,0.000,0.0033,0.1116,0.0017,2.10,1.05
4,scenario-01,step-1,warm,reserved,0.000,0.0035,0.1436,0.0043,2.10,2.10
3,scenario-02,step-20,warm,reserved,0.000,0.0017,0.0910,0.0031,1.05,2.10
4,scenario-01,step-2,warm,reserved,0.000,0.0034,0.1502,0.0031,2.10,2.10
3,scenario-02,step-21,warm,reserved,0.000,0.0037,0.1157,0.0016,2.10,1.05
3,scenario-02,step-22,warm,reserved,0.000,0.0018,0.0674,0.0017,1.05,1.05
4,scenario-01,step-3,warm,reserved,0.000,0.0031,0.1440,0.0034,2.10,2.10
3,scenario-02,step-23,warm,reserved,0.000,0.0021,0.0701,0.0020,1.05,1.05
3,scenario-02,step-24,warm,reserved,0.000,0.0018,0.0705,0.0018,1.05,1.05
4,scenario-01,step-4,warm,reserved,0.000,0.0031,0.1459,0.0030,2.10,2.10
3,scenario-02,step-25,warm,reserved,0.000,0.0019,0.0928,0.0031,1.05,2.10
4,scenario-01,step-5,warm,reserved,0.000,0.0032,0.1448,0.0031,2.10,2.10
3,scenario-02,step-26,warm,reserved,0.000,0.0031,0.1207,0.0017,2.10,1.05
4,scenario-01,step-6,warm,reserved,0.000,0.0030,0.1464,0.0031,2.10,2.10
3,scenario-02,step-27,warm,reserved,0.000,0.0020,0.1870,0.0087,1.05,6.29
4,scenario-01,step-7,warm,reserved,0.000,0.0031,0.1482,0.0033,2.10,2.10
4,scenario-01,step-8,warm,reserved,0.000,0.0032,0.1587,0.0030,2.10,2.10
4,scenario-01,step-9,warm,reserved,0.000,0.0035,0.1518,0.0031,2.10,2.10
3,scenario-02,step-28,warm,reserved,0.000,0.0114,0.4797,0.0094,6.29,6.29
4,scenario-01,step-10,warm,reserved,0.000,0.0030,0.1461,0.0033,2.10,2.10
4,scenario-01,step-11,warm,reserved,0.000,0.0031,0.1429,0.0030,2.10,2.10
4,scenario-01,step-12,warm,reserved,0.000,0.0033,0.1521,0.0031,2.10,2.10
3,scenario-02,step-29,warm,reserved,0.000,0.0097,0.4761,0.0101,6.29,6.29
4,scenario-01,step-13,warm,reserved,0.000,0.0031,0.1464,0.0033,2.10,2.10
