instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,scenario-03,step-22,warm,ondemand,0.000,0.0021,0.0750,0.0017,1.05,1.05
0,scenario-03,step-23,warm,ondemand,0.000,0.0019,0.0746,0.0019,1.05,1.05
0,scenario-03,step-24,warm,ondemand,0.000,0.0019,0.0734,0.0016,1.05,1.05
0,scenario-03,step-25,warm,ondemand,0.000,0.0018,0.0756,0.0020,1.05,1.05
0,scenario-03,step-26,warm,ondemand,0.000,0.0022,0.0742,0.0020,1.05,1.05
0,scenario-03,step-27,warm,ondemand,0.000,0.0019,0.1215,0.0048,1.05,3.15
0,scenario-03,step-28,warm,ondemand,0.000,0.0050,0.2402,0.0047,3.15,3.15
0,scenario-03,step-29,warm,ondemand,0.000,0.0049,0.2362,0.0048,3.15,3.15
0,scenario-03,step-30,warm,ondemand,0.000,0.0046,0.2527,0.0053,3.15,3.15
0,scenario-03,step-31,warm,ondemand,0.000,0.0047,0.2417,0.0052,3.15,3.15
0,scenario-03,step-32,warm,ondemand,0.000,0.0052,0.2424,0.0047,3.15,3.15
0,scenario-03,step-33,warm,ondemand,0.000,0.0048,0.2331,0.0048,3.15,3.15
0,scenario-03,step-34,warm,ondemand,0.000,0.0048,0.2335,0.0048,3.15,3.15
0,scenario-03,step-35,warm,ondemand,0.000,0.0048,0.2315,0.0054,3.15,3.15
0,scenario-03,step-36,warm,ondemand,0.000,0.0049,0.2320,0.0047,3.15,3.15
0,scenario-03,step-37,warm,ondemand,0.000,0.0048,0.2362,0.0048,3.15,3.15
0,scenario-03,step-38,warm,ondemand,0.000,0.0047,0.2303,0.0046,3.15,3.15
0,scenario-03,step-39,warm,ondemand,0.000,0.0046,0.2282,0.0049,3.15,3.15
0,scenario-03,step-40,warm,ondemand,0.000,0.0048,0.2285,0.0046,3.15,3.15
0,scenario-03,step-41,warm,ondemand,0.000,0.0047,0.1816,0.0017,3.15,1.05
1,scenario-01,step-0,warm,ondemand,0.000,0.0000,0.0965,0.0032,0.00,2.10
1,scenario-01,step-1,warm,ondemand,0.000,0.0033,0.1419,0.0034,2.10,2.10
1,scenario-01,step-2,warm,ondemand,0.000,0.0033,0.1428,0.0032,2.10,2.10
1,scenario-01,step-3,warm,ondemand,0.000,0.0032,0.1444,0.0031,2.10,2.10
1,scenario-01,step-4,warm,ondemand,0.000,0.0031,0.1433,0.0032,2.10,2.10
1,scenario-01,step-5,warm,ondemand,0.000,0.0037,0.1582,0.0030,2.10,2.10
1,scenario-01,step-6,warm,ondemand,0.000,0.0033,0.1472,0.0032,2.10,2.10
1,scenario-01,step-7,warm,ondemand,0.000,0.0032,0.1458,0.0032,2.10,2.10
1,scenario-01,step-8,warm,ondemand,0.000,0.0033,0.1454,0.0038,2.10,2.10
1,scenario-01,step-9,warm,ondemand,0.000,0.0032,0.1444,0.0035,2.10,2.10
1,scenario-01,step-10,warm,ondemand,0.000,0.0034,0.1438,0.0033,2.10,2.10
1,scenario-01,step-11,warm,ondemand,0.000,0.0035,0.1441,0.0032,2.10,2.10
1,scenario-01,step-12,warm,ondemand,0.000,0.0032,0.1446,0.0032,2.10,2.10
1,scenario-01,step-13,warm,ondemand,0.000,0.0033,0.1428,0.0031,2.10,2.10
1,scenario-01,step-14,warm,ondemand,0.000,0.0033,0.1433,0.0032,2.10,2.10
1,scenario-01,step-15,warm,ondemand,0.000,0.0031,0.1449,0.0034,2.10,2.10
